Time,FP1,FP2,C3,C4,O1,O2,SPR1,SPR2,ECG1,ECG2
0.005,-30.832,-168.078,-195.056,-134.220,-102.976,10.412,-89.598,-87.607,24.324,-54.959
0.010,34.033,-122.543,-177.564,-205.830,-135.134,8.561,-89.362,-125.125,26.036,-23.167
0.015,23.056,-165.137,-186.494,-255.555,-138.335,-30.424,-90.316,-59.133,46.245,51.157
0.020,-69.881,-200.666,-135.232,-186.986,16.121,-9.151,-88.691,-63.098,64.148,136.031
0.025,-65.763,-76.397,-122.754,-125.283,17.140,12.689,-88.087,-20.315,44.884,227.132
0.030,-62.752,92.525,-113.157,-112.717,-20.575,-57.054,-88.418,-66.173,-5.063,394.837
0.035,0.101,157.059,-213.674,-130.968,-0.758,-187.089,-87.071,-109.246,-60.317,525.819
0.040,20.938,153.121,-241.976,-152.851,-46.043,-231.916,-86.827,-57.704,-137.908,455.401
0.045,-16384.000,-16384.000,-16384.000,-16384.000,-16384.000,-16384.000,-181.550,-267.856,-30.028,100.423
0.050,-16384.000,-16384.000,-16384.000,-16384.000,-16384.000,-16384.000,-181.720,-437.821,-43.819,15.181
0.055,-16384.000,-16384.000,-16384.000,-16384.000,-16384.000,-16384.000,-214.120,-548.599,8.874,-160.646
0.060,-16384.000,-16384.000,-16384.000,-16384.000,-16384.000,-16384.000,-214.011,-380.053,10.639,-91.398
0.065,-16384.000,-16384.000,-16384.000,-16384.000,-16384.000,-16384.000,-187.159,-385.091,-12.826,32.714
0.070,-16384.000,-16384.000,-16384.000,-16384.000,-16384.000,-16384.000,-187.219,-446.533,-25.321,-6.556
0.075,-16384.000,-16384.000,-16384.000,-16384.000,-16384.000,-16384.000,-207.073,-486.153,5.703,-104.531
0.080,-16384.000,-16384.000,-16384.000,-16384.000,-16384.000,-16384.000,-207.050,-440.281,42.629,-62.421
0.085,-88.009,88.617,-132.000,-66.418,-35.041,-178.650,-192.325,-393.242,-20.496,-10.603
0.090,-236.616,55.394,-167.438,-22.432,51.770,-123.721,-191.483,-418.216,-18.999,-27.340
0.095,-267.766,18.491,-289.886,-88.416,-12.894,-145.446,-202.664,-388.418,5.493,-76.685
0.100,-240.121,-10.235,-278.634,-105.364,-21.208,-135.879,-202.393,-440.533,-6.112,-82.811
0.105,-155.134,-80.855,-159.010,-119.183,-3.587,-88.034,-195.130,-469.857,-16.449,-31.977
0.110,-200.318,-187.706,-141.827,-158.087,-56.594,-111.322,-195.331,-406.676,-19.306,-22.710
0.115,-212.187,-139.253,-101.566,-166.085,-50.347,-170.733,-199.458,-430.313,-11.072,-72.708
0.120,-96.854,-49.395,-46.518,-134.479,32.763,-100.566,-198.481,-443.464,-19.159,-76.985
0.125,-38.928,37.469,-17.554,-89.016,85.458,-82.263,-196.772,-429.172,-3.714,-60.380
0.130,-38.219,22.920,-27.370,-75.311,9.129,-79.413,-197.403,-397.379,-4.294,-67.362
0.135,-29.903,-25.234,-105.818,-91.031,-96.293,17.458,-197.327,-447.049,-14.583,-63.024
0.140,2.773,-42.482,-69.633,-53.726,-73.161,49.803,-197.808,-450.866,-19.678,-58.567
